city,state,country,dim_1,dim_2
CopperCity,MI,US,0.23116213,0.15335071
BaldHeadIsland,NC,US,0.18551964,0.1133107
LosCerrillos,NM,US,0.18092258,0.1627148
ComancheCreek,CO,US,0.18124908,0.18832387
Modoc,IN,US,0.270469,0.12541226
WestSunbury,PA,US,0.27317163,0.09688579
Barnum,IA,US,0.21532793,0.14881441
BelleriveAcres,MO,US,0.25444186,0.14804071
Mokane,MO,US,0.21626395,0.21295044
Camargo,OK,US,0.18284747,0.22256504
Michiana,MI,US,0.24344161,0.104053624
Doland,SD,US,0.19908436,0.1471335
Kline,SC,US,0.2051379,0.09060206
FortBridger,WY,US,0.19284102,0.17959152
Thor,IA,US,0.20341447,0.14466642
Bendon,MI,US,0.23010911,0.11198119
Sayner,WI,US,0.20926504,0.14234972
Riverview,AL,US,0.18834856,0.1076471
Gravity,IA,US,0.20597783,0.17542702
Mulkeytown,IL,US,0.24052371,0.14823753
Gilboa,OH,US,0.25597617,0.100917354
Blacksville,WV,US,0.2635076,0.10761586
Kennedy,MN,US,0.2183209,0.12919042
LochArbour,NJ,US,0.21416512,0.00074218505
Brookhurst,WY,US,0.17070235,0.20048597
IronBelt,WI,US,0.21022329,0.15186045
Amoret,MO,US,0.2091529,0.21589981
NespelemCommunity,WA,US,0.19091225,0.14642721
MapleGrove,MI,US,0.23321766,0.112593226
ElCombate,Cabo Rojo,PR,0.14272569,0.20758349
SouthCarrollton,KY,US,0.26004955,0.1563979
TyghValley,OR,US,0.16841657,0.12072654
Dale,OK,US,0.17389005,0.2325979
Gerrard,CO,US,0.18165492,0.1756081
Stockett,MT,US,0.18043086,0.18124688
Kokhanok,AK,US,0.18855238,0.18344845
Barnesville,MD,US,0.25669658,0.021722341
TheRock,GA,US,0.21587862,0.10333592
PointIsabel,IN,US,0.26150143,0.124352746
Elko,SC,US,0.203788,0.090690926
Walton,NE,US,0.19740924,0.16369826
BrantLakeSouth,SD,US,0.19152355,0.14981873
Braxton,MS,US,0.16692555,0.18587148
Anawalt,WV,US,0.23257965,0.14468226
VanVoorhis,PA,US,0.2852227,0.08044357
Shambaugh,IA,US,0.20662682,0.17951041
Shelly,MN,US,0.21895142,0.13366424
Sheridan,MO,US,0.20718548,0.17975397
Riverdale,NE,US,0.1803349,0.18617995
Cooksville,IL,US,0.23455992,0.12946941
LakeCavanaugh,WA,US,0.15754634,0.19343038
Paxville,SC,US,0.2203596,0.08030254
Finland,MN,US,0.20890819,0.13660346
Chewey,OK,US,0.17132744,0.24846482
WilburtonNumberOne,PA,US,0.23266703,0.054239325
Cantwell,AK,US,0.16598916,0.1562088
AliChuk,AZ,US,0.1778283,0.11903495
BishopHills,TX,US,0.16850396,0.19955422
Modesto,IL,US,0.23393995,0.14125888
Van,WV,US,0.24114835,0.14922056
Cecil,OH,US,0.2512178,0.10510682
DutchFlat,CA,US,0.18100064,0.13030241
Portsmouth,IA,US,0.21866955,0.15044071
TroutCreek,MT,US,0.17789215,0.16845897
Otoe,NE,US,0.19711222,0.1660374
SprucePine,AL,US,0.20460786,0.1577567
Palominas,AZ,US,0.17272852,0.12896714
Amherst,CO,US,0.17928253,0.2063286
LaRosita,TX,US,0.14554477,0.2314201
Colerain,NC,US,0.23882902,0.08691763
Ramona,KS,US,0.19716834,0.20437253
Halfway,MO,US,0.20571268,0.23724385
Power,MT,US,0.1836964,0.1784468
SilverPlume,CO,US,0.18359399,0.17473735
Denison,KS,US,0.19964513,0.20242529
JordanValley,OR,US,0.1870242,0.16266455
PortGraham,AK,US,0.1726575,0.18242562
FlatRock,OH,US,0.26016968,0.094297975
Hillview,IL,US,0.23083322,0.15375525
Pomaria,SC,US,0.22877842,0.1172529
Purdin,MO,US,0.21647473,0.1746188
Lozano,TX,US,0.14148964,0.26273194
Chesterfield,IL,US,0.23789933,0.13788526
Fairhaven,CA,US,0.17479603,0.07605077
HighHill,MO,US,0.2185647,0.19347318
LowellPoint,AK,US,0.18519579,0.168663
Wasola,MO,US,0.19991772,0.25215226
Hurley,MO,US,0.20014799,0.24755092
Kennerdell,PA,US,0.2668467,0.09715374
Congress,OH,US,0.27139643,0.09038981
Wessington,SD,US,0.21032713,0.15657176
Minto,AK,US,0.16305673,0.1819728
Alfarata,PA,US,0.25340247,0.0772005
Stevinson,CA,US,0.20749155,-0.073643945
ArroyoHondo,NM,US,0.17666586,0.17827271
Gregory,OK,US,0.19491467,0.21047667
MillSpring,MO,US,0.22592036,0.21196494
CoffmanCove,AK,US,0.1740212,0.20473547
