city,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
SugarMountain,-0.022121673,-0.006000773,-0.0051914765,-0.0037552123,-0.0031924173,0.025573378,0.0154466685,0.0029062203,0.0129585825,-0.008749492
Tyro,-0.0024848785,-0.010496007,0.0065599666,-0.007784723,0.01213172,0.012293192,0.010020986,0.01477023,0.009572339,0.015603482
PecanGap,-0.01389454,0.007947338,-0.011361569,-0.03360304,0.01299854,0.016915588,0.0056957626,0.005566059,-0.005928722,0.028153403
PineGlen,-0.012156349,-0.0031442556,0.023395116,-0.0037599972,0.0040878574,-0.0016660823,0.022383135,-0.022536699,0.0011811212,-0.036352552
Raemon,-0.01432075,0.0051436927,-0.015360605,0.015012575,-0.010835643,-4.644692e-05,0.0032931436,0.004589155,0.008620108,-0.012201444
SummitStation,0.0027903868,0.021501595,0.055737983,-0.028737744,0.005363591,0.008829881,0.04250253,-0.066530645,-0.004876206,-0.023433927
NewtonHamilton,-0.0103973765,-0.004346364,0.018761886,-0.0064905975,0.0046102516,0.004540881,0.026732374,-0.022048121,0.0097114965,-0.034270078
MountCory,0.0036002286,-0.008562644,0.017412938,0.038633592,0.021789523,-0.008165523,0.018393869,-0.006439884,-0.014906779,-0.005436478
Spillertown,0.00830917,0.0023679736,0.0044158297,0.005109677,0.019409686,0.0043544155,0.0021891138,0.023503706,0.00013256446,0.018009292
Eureka,-0.017032607,-0.00017147698,-0.022722278,0.016640523,-0.0070655313,0.0053916415,0.00915815,-0.0011002938,0.0091043115,-0.019016128
Trumbull,0.017876184,-0.0399407,0.016288575,-0.004894446,0.0077879936,0.019214591,0.0016116344,0.019497514,0.028352369,0.036053658
RadarBase,-0.029769916,0.0033486458,0.007573743,-0.023556715,0.0050032684,0.0041329283,0.0013942122,0.005917687,-0.022897415,0.022717388
Volga,0.025393125,-0.02410566,-0.004584878,0.018798798,0.031249985,-0.0035344844,-0.017092548,0.013520375,0.002009415,0.02087268
Zanesfield,-0.0050005116,-0.0039691827,0.018684637,0.027573025,0.019933198,-0.004283152,0.012509557,-0.0011636049,-0.006582846,-0.013319244
