city,state,country,dim_1,dim_2,dim_3
Kline,SC,US,0.0069921706,0.19222437,-0.18502302
FortBridger,WY,US,-0.09089053,0.17093615,-0.2722603
Thor,IA,US,-0.051222846,0.1769432,-0.31472018
Bendon,MI,US,-0.020263545,0.21637858,-0.29449698
Sayner,WI,US,-0.053504284,0.2159803,-0.30054942
Riverview,AL,US,-0.0380883,0.20258112,-0.14344017
Gravity,IA,US,-0.07982785,0.19841777,-0.3256015
Mulkeytown,IL,US,-0.060031705,0.2437509,-0.28086773
Gilboa,OH,US,-0.0035240054,0.26321608,-0.2890934
Blacksville,WV,US,-0.028619561,0.31567425,-0.26439193
Kennedy,MN,US,-0.04193871,0.17540629,-0.2918162
LochArbour,NJ,US,0.12100006,0.2172235,-0.20342319
Brookhurst,WY,US,-0.14324862,0.21169423,-0.25623617
IronBelt,WI,US,-0.07321447,0.2178991,-0.3085177
Amoret,MO,US,-0.13194725,0.21104448,-0.31382346
NespelemCommunity,WA,US,-0.045183886,0.16536681,-0.30434874
MapleGrove,MI,US,-0.017438188,0.21388884,-0.29210213
ElCombate,Cabo Rojo,PR,-0.16410291,0.20549904,-0.2481847
SouthCarrollton,KY,US,-0.069086134,0.253105,-0.26227745
TyghValley,OR,US,-0.027217004,0.12314487,-0.2866579
Dale,OK,US,-0.16919734,0.19897734,-0.2755607
Gerrard,CO,US,-0.093744695,0.18941116,-0.26865745
Stockett,MT,US,-0.11271166,0.19150479,-0.25312752
Kokhanok,AK,US,-0.102713756,0.19702083,-0.27224565
Barnesville,MD,US,0.094687335,0.31994075,-0.21200548
TheRock,GA,US,-0.03342319,0.21550038,-0.13753252
PointIsabel,IN,US,-0.022607526,0.25278014,-0.2940207
Elko,SC,US,0.009615806,0.18985447,-0.18271849
Walton,NE,US,-0.061006915,0.18277325,-0.31572917
BrantLakeSouth,SD,US,-0.069409646,0.18261299,-0.30558452
Braxton,MS,US,-0.12650804,0.23107389,-0.15215424
Anawalt,WV,US,-0.063211426,0.27202088,-0.23147534
VanVoorhis,PA,US,0.007166481,0.33973062,-0.26931992
Shambaugh,IA,US,-0.07951592,0.19794731,-0.32868403
Shelly,MN,US,-0.02956515,0.17432131,-0.2948526
Sheridan,MO,US,-0.08544965,0.20341066,-0.3284685
Riverdale,NE,US,-0.12207997,0.18606551,-0.30377167
Cooksville,IL,US,-0.033091433,0.21935858,-0.30783656
LakeCavanaugh,WA,US,-0.10503759,0.16518296,-0.29820052
Paxville,SC,US,0.009662017,0.20470947,-0.18915084
Finland,MN,US,-0.052845374,0.21784683,-0.2886426
Chewey,OK,US,-0.19035904,0.22057647,-0.26618475
WilburtonNumberOne,PA,US,0.033870645,0.30496785,-0.23177876
Cantwell,AK,US,-0.08978815,0.18406777,-0.26483643
AliChuk,AZ,US,-0.0234223,0.15868889,-0.26458168
BishopHills,TX,US,-0.13372049,0.1814928,-0.27175117
Modesto,IL,US,-0.05427402,0.22907518,-0.29799667
Van,WV,US,-0.063856564,0.29255718,-0.2352014
Cecil,OH,US,-0.0011233235,0.2619255,-0.29183605
DutchFlat,CA,US,-0.030276647,0.1603806,-0.25637662
Portsmouth,IA,US,-0.052161586,0.19148558,-0.31561625
TroutCreek,MT,US,-0.10840262,0.15567371,-0.28977203
Otoe,NE,US,-0.073539734,0.19041567,-0.31534863
SprucePine,AL,US,-0.093550056,0.22799103,-0.17348687
Palominas,AZ,US,-0.048263833,0.17304379,-0.26418477
Amherst,CO,US,-0.1412652,0.17865896,-0.2870184
LaRosita,TX,US,-0.18506712,0.21832104,-0.20604026
Colerain,NC,US,0.005175708,0.25431094,-0.23087826
Ramona,KS,US,-0.1325508,0.19336145,-0.2986512
Halfway,MO,US,-0.16765857,0.23025668,-0.29055312
Power,MT,US,-0.103499845,0.17890869,-0.25772104
SilverPlume,CO,US,-0.09768241,0.18452138,-0.2735479
Denison,KS,US,-0.111857586,0.19425905,-0.3233961
JordanValley,OR,US,-0.08850206,0.18849726,-0.26773474
PortGraham,AK,US,-0.11992448,0.21074371,-0.2706617
FlatRock,OH,US,0.0060285553,0.27625254,-0.2948748
Hillview,IL,US,-0.07465671,0.21964172,-0.3047147
Pomaria,SC,US,-0.021807278,0.23398799,-0.18354858
Purdin,MO,US,-0.08208488,0.22866248,-0.32482973
Lozano,TX,US,-0.22340107,0.2505267,-0.199679
Chesterfield,IL,US,-0.046511773,0.22770958,-0.29900855
Fairhaven,CA,US,0.021253506,0.13615195,-0.23171982
HighHill,MO,US,-0.11844396,0.23109105,-0.31218374
LowellPoint,AK,US,-0.10258686,0.20995134,-0.2716188
