city,dim_1,dim_2,dim_3
Broomtown,-0.0126471305,0.024671163,0.0077159354
GovernmentCamp,-0.038075883,0.03457501,0.0106714815
JakesCorner,-0.03527865,0.03953338,0.008523093
Truchas,-0.023199642,0.028570725,0.002116971
Rosine,0.0051622177,0.011653289,0.023262572
Shevlin,-0.006059428,0.011139051,0.025522694
Lucan,0.020174585,0.02336335,0.035273973
LamarHeights,-0.010896788,0.012744697,0.023374382
Economy,0.018835515,0.027681522,0.0117892735
LeFlore,-0.012057316,0.01700833,0.012994026
CimarronCity,-0.0036398992,0.022582311,0.026316771
Cleaton,0.0043958975,0.012025207,0.02652918
Pierson,0.019055523,0.02270796,-0.006959778
Arnegard,-0.019652005,0.032700308,0.022820404
Kirkville,0.03366007,-0.00017068535,0.040849984
Philo,-0.045930505,0.017396092,0.01666603
Plainville,0.037337653,0.024511253,0.025515692
Crowley,-0.016843079,0.019393006,0.012963316
Houston,-0.0010996362,0.019181937,0.027432978
Stamford,0.0018501091,0.03273567,0.034509122
SacateVillage,0.041115835,-0.14682922,-0.005175006
NorthHenderson,0.032928407,0.0057134675,0.038996372
Bessie,-0.013973267,0.029695753,0.014682973
Coin,0.012232869,0.012314932,0.035465427
Kranzburg,0.00021717884,0.026610326,0.039051257
ChineseCamp,-0.027416404,0.0042741555,0.008982312
Orangeville,0.016622746,0.018052723,-0.019398278
Salineño,-0.03631097,0.059024397,0.0044956016
Fifty-Six,-0.009027264,0.017147861,0.02288483
Bellechester,0.024115305,0.004226264,0.02785454
Gu-Win,-0.014034452,0.019973861,0.018574346
Foxburg,0.012961313,0.009430739,-0.018387709
JacksonLake,-0.016988235,0.015691584,0.020988595
Churchville,0.0004901215,0.016771553,-0.0033680461
Wallingford,0.02733127,0.019008275,0.038117193
Newbern,-0.015305186,0.025947018,0.017702308
Kaltag,-0.021282049,0.031022869,0.007141163
Holland,0.017815005,0.023455905,0.03482027
Amsterdam,-0.015723377,0.025271144,0.014131348
GoodHope,0.01637396,0.0207851,0.016471019
Foley,0.024779076,0.0030652334,0.044932753
Ogdensburg,0.02963329,0.008170899,0.008095921
Petersburg,-0.0073524076,0.023019029,0.032145407
DeSoto,-0.021221172,0.03905436,0.015096631
BeardsFork,0.00036434084,0.01634829,0.008653937
