city,state,country,dim_1,dim_2,dim_3,dim_4
Blockton,IA,US,-0.009924178,-0.031815197,0.0057737892,-0.038158435
ValleyHome,CA,US,0.010312393,0.004241919,-0.14774792,0.027571619
Newberry,IN,US,0.03205974,-0.02306423,0.016089464,-0.040087584
TwinForks,NM,US,-0.04714666,4.053861e-05,0.03297782,0.007023774
Winnett,MT,US,-0.026291046,-0.017734364,0.018485554,0.0019038182
MountCroghan,SC,US,0.05710001,-2.5467947e-05,-0.0018370112,0.022726813
DewyRose,GA,US,0.06066666,-0.013050035,0.013881174,0.02891073
Palestine,OH,US,0.027927414,-0.0054153525,0.0037918317,-0.0415275
PortLions,AK,US,-0.03503981,-0.0013052683,0.037583917,-0.008994653
DecaturCity,IA,US,-0.008159584,-0.031397834,0.0038778475,-0.038747597
MindenCity,MI,US,-0.00780249,0.028362123,-0.008079089,-0.02822156
CrystalBay,NV,US,-0.03350107,-0.00033308752,-0.00061916735,0.0073413323
Buffalo,ND,US,-0.023957917,-0.018607188,-0.009362773,-0.011531675
SanCristobal,NM,US,-0.042934634,-0.004974964,0.025114292,0.001122936
DavisCity,IA,US,-0.009747347,-0.029978344,0.004917317,-0.041134164
Custar,OH,US,0.021894123,0.009084842,-0.0019109447,-0.04058373
Hyannis,NE,US,-0.034959678,-0.0231235,0.031187098,-0.0050787446
Alger,WA,US,-0.05408952,-0.013062272,-0.008251544,-0.0061239456
MaryhillEstates,KY,US,0.055520628,-0.034167975,0.009594723,-0.047213554
Trinway,OH,US,0.029495543,0.018667411,0.024510551,-0.054540183
Broadview,MT,US,-0.029809987,-0.012142259,0.029685693,0.008941913
Crouch,ID,US,-0.03970714,-0.019635737,0.014919064,0.0003885515
Funk,NE,US,-0.028947743,-0.029214121,0.020122541,-0.011740706
Gainesville,AL,US,0.035217308,-0.009385482,0.03665777,0.046861626
Ratcliff,AR,US,-0.00487229,-0.041866265,0.0522772,0.005277036
SanSimon,AZ,US,-0.035562344,0.005517825,-0.021080218,0.0106349075
Offerle,KS,US,-0.03248492,-0.030768093,0.031219212,-0.00450335
Amberg,WI,US,-0.019892277,0.0077909003,0.0052674594,-0.025626915
Howard,OH,US,0.028824793,0.012691674,0.01222554,-0.050632995
Latty,OH,US,0.021556064,0.0033293387,-0.003565087,-0.03933929
Ensign,KS,US,-0.030953983,-0.03173269,0.02853916,-0.0036526155
Wynot,NE,US,-0.023813978,-0.024605785,0.0025344677,-0.023090715
Grayridge,MO,US,0.030799134,-0.031011565,0.016976008,-0.0073697716
SugarBushKnolls,OH,US,0.031309653,0.023702553,-0.0012434713,-0.060904104
Medon,TN,US,0.037042156,-0.035515536,0.03931373,0.02463429
Nageezi,NM,US,-0.029251087,-0.0054278653,-0.0055738925,0.007857731
Buckhead,GA,US,0.05779697,-0.012315746,0.0032906372,0.04280181
Metaline,WA,US,-0.04104712,-0.021478157,0.010034845,-0.006700839
MiddleVillage,WI,US,-0.021314258,0.0103225615,0.007503562,-0.029380003
Beaman,IA,US,-0.012811362,-0.02541526,-0.012350821,-0.025326785
Choptank,MD,US,0.015020189,0.05538306,-0.009722476,-0.0066384953
Carney,MI,US,-0.016263781,0.011273138,0.005425619,-0.023844268
Calpine,CA,US,-0.033590384,0.0047048014,0.006418422,0.004605871
Slick,OK,US,-0.007485981,-0.048988633,0.046272036,-0.0058642016
Cowgill,MO,US,-0.0049189692,-0.03483912,0.007666668,-0.045620196
Hebron,WI,US,-0.0014148533,-0.012508944,-0.02967242,-0.031240363
Banner,IL,US,0.008088096,-0.033563543,-0.00097059406,-0.04003153
Mina,NV,US,-0.024916744,-0.0036825947,-0.023307705,0.011891561
Hebo,OR,US,-0.03952807,-0.01478934,0.02095777,0.00968851
Frost,MN,US,-0.02276964,-0.019356847,-0.009126882,-0.023267582
Layton,FL,US,-0.014019713,0.021761775,0.05070949,0.028623879
Proberta,CA,US,-0.012506108,0.0074322964,-0.07865072,0.018143224
FountainN'Lakes,MO,US,0.020131906,-0.04666371,0.0061206752,-0.034291368
Weldona,CO,US,-0.03482456,-0.01726362,0.010214811,-0.0010891476
GreenBank,WV,US,0.023817092,0.019824613,0.04073685,-0.024423702
ConceptionJunction,MO,US,-0.011636497,-0.03381045,0.0035230445,-0.040396743
NewGrandChain,IL,US,0.030677987,-0.029219057,0.016636914,-0.017800149
Warba,MN,US,-0.021458019,-0.007393901,0.0023904077,-0.02189793
CopperCity,MI,US,-0.022912288,0.00510576,0.02400423,-0.022033857
